职业技能关系主键,canonical_skill,职业小类代码,职业小类名称,关联岗位数,技能岗位总数,职业岗位总数,全样本岗位数,掌握技能后进入该职业概率,职业内技能需求占比,职业技能相对集中度,平滑后职业匹配概率,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,2026年职业内技能需求占比预测,2027年职业内技能需求占比预测,2028年职业内技能需求占比预测,职业排名
GJ0000078,书面表达,2-09-01,文艺创作与编导人员,1,77408.0,1,1741643,1.291856138900372e-05,1.0,22.499522013228603,1.2915372777414256e-05,书面表达,JN0779,书面表达,非技术性能力,1.0,表达沟通与通用办公协作,,,,134
GJ0000079,公司治理,4-05-01,银行服务人员,2,1144.0,5903,1741643,0.0017482517482517483,0.000338810774182619,0.5158106758564154,0.0017764489407662508,公司治理,JN0730,公司治理,专业知识与行业经验,14.0,金融风控、投资与合规,,,,23
GJ0000080,FQC,2-02-10,信息和通信工程技术人员,3,1006.0,112344,1741643,0.002982107355864811,2.6703695791497543e-05,0.04623091933339081,0.0041813763855627715,FQC,JN0021,成品质量控制（FQC）,职业职能与业务活动,6.0,质量管理与持续改进,,,,8
GJ0000081,执行力,6-11-10,日用化学品生产人员,1,148007.0,21,1741643,6.756437195538049e-06,0.047619047619047616,0.5603476926927845,6.757153435537107e-06,执行力,JN0777,执行力,非技术性能力,2.0,组织协调与商业执行,,,,161
GJ0000082,FMEA,2-06-02,统计专业人员,1,16369.0,362,1741643,6.109108681043436e-05,0.0027624309392265192,0.293919512999407,6.12701808704881e-05,FMEA,JN0192,失效模式与影响分析（FMEA）,方法、标准与流程,6.0,质量管理与持续改进,,,,53
GJ0000083,Pro/E,4-07-05,安全保护服务人员,1,15227.0,5256,1741643,6.567281802062127e-05,0.0001902587519025875,0.021761530402566377,6.954527454716636e-05,Pro/E,JN0118,Pro/E（工业设计软件）,工具软件与技术平台,8.0,机械设计与制造,,,,54
GJ0000084,电力电子技术,2-06-07,商务专业人员,8,933.0,80701,1741643,0.00857449088960343,9.913136144533525e-05,0.18504977678642875,0.009366970242007357,电力电子技术,JN0737,电力电子技术,专业知识与行业经验,9.0,工业自动化与电气控制,,,,11
GJ0000085,ACCA,4-05-01,银行服务人员,7,1548.0,5903,1741643,0.004521963824289405,0.0011858377096391666,1.334176967783648,0.004507516943272906,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,,,,9
GJ0000086,大语言模型,2-02-07,机械工程技术人员,2,5214.0,89753,1741643,0.0003835826620636747,2.228337771439395e-05,0.007443361874305757,0.0005790352435256041,大语言模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,,,,28
GJ0000087,SAS,2-06-08,人力资源专业人员,3,1308.0,54357,1741643,0.0022935779816513763,5.5190683812572435e-05,0.0734881254796484,0.002729069049181776,SAS,JN0312,SAS（办公软件与通用数字工具）,方法、标准与流程,15.0,人工智能与数据挖掘,,,,23
