城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0030738,新能源,长沙,2028,0.0206741072115406,0.0011189264291554,0.0463414724604305,seasonal_3y+留出校准组合,0.9528571428571428,新能源,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,206.741072115406,43
CS0030739,新能源,青岛,2026,0.0115100700766668,0.0012183014012275,0.0335840049137596,seasonal_3y+留出校准组合,0.747142857142857,新能源,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,115.100700766668,54
CS0030740,新能源,青岛,2027,0.0111583321749361,0.0007433730361455,0.0332322670120289,seasonal_3y+留出校准组合,0.85,新能源,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,111.583321749361,53
CS0030741,新能源,青岛,2028,0.0108065942732054,0.0002684446710636,0.0328805291102982,seasonal_3y+留出校准组合,0.9528571428571428,新能源,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,108.065942732054,53
CS0030742,方案设计,上海,2026,0.0341316032850916,0.014465255178503,0.0537979513916802,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,341.316032850916,20
CS0030743,方案设计,上海,2027,0.035395342345489,0.0157289942389004,0.0550616904520776,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,353.95342345489,21
CS0030744,方案设计,上海,2028,0.037005339880839,0.0173389917742504,0.0566716879874276,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,370.05339880839,21
CS0030745,方案设计,东莞,2026,0.0350200042342323,0.0152063968006006,0.054833611667864,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,350.200042342323,16
CS0030746,方案设计,东莞,2027,0.0402925576323663,0.0204789501987346,0.0601061650659979,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,402.925576323663,11
CS0030747,方案设计,东莞,2028,0.0473215625840334,0.0275079551504017,0.0671351700176651,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,473.21562584033404,8
CS0030748,方案设计,中山,2026,0.032587975340689,0.0024046710486594,0.0791121918649055,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,325.87975340689,23
CS0030749,方案设计,中山,2027,0.0316134606499447,0.0013109818498718,0.0781376771741612,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,316.134606499447,29
CS0030750,方案设计,中山,2028,0.0306389459592004,0.0002172926510842,0.0771631624834169,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,306.389459592004,33
CS0030751,方案设计,乌鲁木齐,2026,0.0249829513974922,0.0053652449284122,0.0470870667795972,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,249.82951397492198,38
CS0030752,方案设计,乌鲁木齐,2027,0.0260123095183668,0.0058836958549368,0.0481164249004717,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,260.123095183668,36
CS0030753,方案设计,乌鲁木齐,2028,0.0274613890885686,0.0067670544818227,0.0495655044706735,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,274.613890885686,37
CS0030754,方案设计,佛山,2026,0.0337759114747984,0.0120151041987317,0.0555367187508652,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,337.75911474798403,21
CS0030755,方案设计,佛山,2027,0.0350467319605574,0.0132859246844906,0.0568075392366241,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,350.467319605574,23
CS0030756,方案设计,佛山,2028,0.0366218938313286,0.0148610865552619,0.0583827011073954,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,366.218938313286,22
CS0030757,方案设计,保定,2026,0.0147204224985173,0.001869772668075,0.0560427365481041,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,147.204224985173,54
CS0030758,方案设计,保定,2027,0.0139827942562647,0.0010762182091819,0.0553051083058515,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,139.827942562647,54
CS0030759,方案设计,保定,2028,0.0132451660140121,0.0002826637502888,0.0545674800635989,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,132.451660140121,57
CS0030760,方案设计,兰州,2026,0.0072564620605371,0.0018349171821317,0.0538285158442989,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,72.56462060537099,62
CS0030761,方案设计,兰州,2027,0.0065005828132362,0.0010199246343382,0.053072636596998,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,65.005828132362,62
CS0030762,方案设计,兰州,2028,0.0057447035659352,0.0002049320865446,0.052316757349697,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,57.447035659352004,62
CS0030763,方案设计,北京,2026,0.0386640285397261,0.023781286992497,0.0535467700869553,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,386.640285397261,9
CS0030764,方案设计,北京,2027,0.0390310850529579,0.0241483435057287,0.0539138266001871,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,390.310850529579,14
CS0030765,方案设计,北京,2028,0.0394947311722193,0.0246119896249901,0.0543774727194485,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,394.947311722193,17
CS0030766,方案设计,南京,2026,0.0404174355464818,0.0105710178257819,0.0702638532671816,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,404.174355464818,7
CS0030767,方案设计,南京,2027,0.0405585923472336,0.0107121746265337,0.0704050100679334,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,405.585923472336,9
CS0030768,方案设计,南京,2028,0.0406997491479854,0.0108533314272856,0.0705461668686853,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,406.99749147985403,14
CS0030769,方案设计,南宁,2026,0.0150532004128848,0.0003441481792749,0.0456906359324131,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,150.532004128848,52
CS0030770,方案设计,南宁,2027,0.0154726124275353,0.0005730840034492,0.0461100479470636,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,154.72612427535302,52
CS0030771,方案设计,南宁,2028,0.0158920244421858,0.0008020198276235,0.0465294599617141,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,158.920244421858,50
CS0030772,方案设计,南昌,2026,0.0176502691270865,0.0012754983274067,0.0390173655612149,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,176.502691270865,49
CS0030773,方案设计,南昌,2027,0.0176410516457393,0.0012521831016986,0.0390081480798677,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,176.41051645739302,48
CS0030774,方案设计,南昌,2028,0.017631834164392,0.0012288678759904,0.0389989305985204,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,176.31834164391998,48
CS0030775,方案设计,南通,2026,0.0192044873497482,0.0028748546194197,0.0386159571328891,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,192.04487349748197,48
CS0030776,方案设计,南通,2027,0.0190737855913812,0.0025069059571657,0.0384852553745221,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,190.737855913812,47
CS0030777,方案设计,南通,2028,0.0189150269173201,0.0021180563539844,0.0383264967004609,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,189.150269173201,47
CS0030778,方案设计,南阳,2026,0.0041902367483762,0.0,0.0492716511428266,seasonal_naive+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,41.902367483762006,63
CS0030779,方案设计,南阳,2027,0.0041902367483762,0.0,0.0492716511428266,seasonal_naive+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,41.902367483762006,63
CS0030780,方案设计,南阳,2028,0.0041902367483762,0.0,0.0492716511428266,seasonal_naive+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,41.902367483762006,63
CS0030781,方案设计,厦门,2026,0.0349710233409811,0.0130830963758567,0.0570309753701845,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,349.710233409811,17
CS0030782,方案设计,厦门,2027,0.0350476052316602,0.0130019493028922,0.0571075572608636,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,350.476052316602,22
CS0030783,方案设计,厦门,2028,0.0352406928754287,0.0131807408462253,0.0573006449046321,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,352.406928754287,26
CS0030784,方案设计,台州,2026,0.0288769364188945,0.0091067624261066,0.0492996025789575,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,288.769364188945,32
CS0030785,方案设计,台州,2027,0.0316712938782595,0.0116407092544248,0.0520939600383226,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,316.712938782595,28
CS0030786,方案设计,台州,2028,0.0353453818759219,0.0151543474852422,0.055768048035985,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,353.453818759219,25
CS0030787,方案设计,合肥,2026,0.0374527751796588,0.02330120008136,0.0516043502779577,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,374.527751796588,10
CS0030788,方案设计,合肥,2027,0.0387607514327698,0.0246091763344709,0.0529123265310686,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,387.607514327698,15
CS0030789,方案设计,合肥,2028,0.0404255137656837,0.0262739386673848,0.0545770888639825,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,404.255137656837,15
CS0030790,方案设计,呼和浩特,2026,0.0110039821799943,0.0013803497458925,0.0405247241390586,seasonal_naive+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,110.039821799943,61
CS0030791,方案设计,呼和浩特,2027,0.0110039821799943,0.0013803497458925,0.0405247241390586,seasonal_naive+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,110.039821799943,61
CS0030792,方案设计,呼和浩特,2028,0.0110039821799943,0.0013803497458925,0.0405247241390586,seasonal_naive+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,110.039821799943,60
CS0030793,方案设计,哈尔滨,2026,0.0165788591271461,0.002851178057063,0.0471077052809923,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,165.788591271461,51
CS0030794,方案设计,哈尔滨,2027,0.0157322223098852,0.001940455792539,0.0462610684637313,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,157.32222309885202,51
CS0030795,方案设计,哈尔滨,2028,0.0148855854926242,0.0010297335280151,0.0454144316464704,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,148.855854926242,52
CS0030796,方案设计,嘉兴,2026,0.0370614359086541,0.0058912058214641,0.0689168272472379,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,370.614359086541,12
CS0030797,方案设计,嘉兴,2027,0.046113908262672,0.0142585169240881,0.0779692996012558,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,461.13908262672,5
CS0030798,方案设计,嘉兴,2028,0.0594096580563712,0.0275542667177874,0.0912650493949551,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,594.096580563712,4
CS0030799,方案设计,大连,2026,0.024042614368827,0.0015274888665944,0.0574880563290879,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,240.42614368827,41
CS0030800,方案设计,大连,2027,0.0247537214688103,0.0011353745929536,0.0581991634290713,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,247.53721468810298,40
CS0030801,方案设计,大连,2028,0.0256385161426498,0.0008152401209245,0.0590839581029107,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,256.385161426498,38
CS0030802,方案设计,天津,2026,0.0258785181794398,0.0019012405159216,0.0539988303410658,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,258.785181794398,35
CS0030803,方案设计,天津,2027,0.0255864524734995,0.0014420418346194,0.0537067646351255,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,255.864524734995,38
CS0030804,方案设计,天津,2028,0.0252943867675592,0.0009828431533173,0.0534146989291852,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,252.94386767559197,40
CS0030805,方案设计,太原,2026,0.0137419578272993,0.0005335619842942,0.0489314676039651,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,137.419578272993,57
CS0030806,方案设计,太原,2027,0.0138119434010126,0.000376489847506,0.0490014531776783,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,138.119434010126,55
CS0030807,方案设计,太原,2028,0.0138819289747258,0.0002194177107179,0.0490714387513916,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,138.819289747258,54
CS0030808,方案设计,威海,2026,0.03577459794609,0.004355374553202,0.0767660819673502,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,357.74597946090006,15
CS0030809,方案设计,威海,2027,0.0407410089712442,0.006399921726789,0.0817324929925043,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,407.41008971244196,8
CS0030810,方案设计,威海,2028,0.0472879552039932,0.0110270291608843,0.0882794392252533,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,472.879552039932,9
CS0030811,方案设计,宁德,2026,0.0337439410716026,0.0007959290347937,0.0860117666850171,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,337.439410716026,22
CS0030812,方案设计,宁德,2027,0.0361384940910315,0.0003836391251217,0.088406319704446,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,361.38494091031504,19
CS0030813,方案设计,宁德,2028,0.0388453444778801,0.0002809727027079,0.0911131700912946,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,388.453444778801,18
CS0030814,方案设计,宁波,2026,0.0245746449016719,0.0010978455921987,0.0508749503232585,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,245.746449016719,40
CS0030815,方案设计,宁波,2027,0.0245112978663172,0.0008737863341251,0.0508116032879038,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,245.112978663172,41
CS0030816,方案设计,宁波,2028,0.0244479508309625,0.0006497270760516,0.0507482562525491,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,244.479508309625,41
CS0030817,方案设计,常州,2026,0.0346656602239257,0.0012547937322067,0.0741699433531024,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,346.656602239257,18
CS0030818,方案设计,常州,2027,0.0369022570791169,0.0016526769506904,0.0764065402082936,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,369.022570791169,16
CS0030819,方案设计,常州,2028,0.0398008191445157,0.0031685606504237,0.0793051022736924,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,398.00819144515697,16
CS0030820,方案设计,广州,2026,0.0320949644886529,0.004750440668755,0.0603063107572747,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,320.949644886529,25
CS0030821,方案设计,广州,2027,0.0320383586895609,0.0046260522284115,0.0602497049581828,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,320.38358689560897,26
CS0030822,方案设计,广州,2028,0.031981752890469,0.0045016637880681,0.0601930991590908,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,319.81752890469,29
CS0030823,方案设计,廊坊,2026,0.0149625893219743,0.0029417269621819,0.0650935297154445,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,149.625893219743,53
CS0030824,方案设计,廊坊,2027,0.0149326689975162,0.00232521238437,0.0650636093909864,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,149.326689975162,53
CS0030825,方案设计,廊坊,2028,0.0149027486730581,0.0022118134234551,0.0650336890665283,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,149.027486730581,51
CS0030826,方案设计,徐州,2026,0.031364836908877,0.0082870016325954,0.0594784195973116,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,313.64836908877004,28
CS0030827,方案设计,徐州,2027,0.0313002683359931,0.0080017137487228,0.0594138510244277,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,313.002683359931,30
CS0030828,方案设计,徐州,2028,0.0312356997631092,0.0078193655156941,0.0593492824515439,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,312.356997631092,32
CS0030829,方案设计,惠州,2026,0.0484223872404961,0.0253881080667097,0.0714566664142825,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,484.223872404961,3
CS0030830,方案设计,惠州,2027,0.0590597384888911,0.0360254593151048,0.0820940176626775,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,590.597384888911,2
CS0030831,方案设计,惠州,2028,0.0739258483910763,0.0508915692172899,0.0969601275648627,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,739.258483910763,1
CS0030832,方案设计,成都,2026,0.0435563598618571,0.0159736626855859,0.0711390570381282,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,435.563598618571,4
CS0030833,方案设计,成都,2027,0.0463141918937889,0.0187314947175177,0.07389688907006,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,463.141918937889,4
CS0030834,方案设计,成都,2028,0.0497697114896253,0.0221870143133541,0.0773524086658964,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,497.697114896253,6
CS0030835,方案设计,扬州,2026,0.0229713809156482,0.0017334531351894,0.0524577539975854,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,229.713809156482,42
CS0030836,方案设计,扬州,2027,0.0252624839504026,0.0017536634669232,0.0547488570323398,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,252.624839504026,39
CS0030837,方案设计,扬州,2028,0.0281746031140735,0.002776169829296,0.0576609761960107,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,281.746031140735,36
CS0030838,方案设计,无锡,2026,0.0360284532716682,0.0026381905605757,0.0706480976321452,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,360.28453271668195,14
CS0030839,方案设计,无锡,2027,0.0394322983615404,0.004837079880613,0.0740519427220175,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,394.322983615404,12
CS0030840,方案设计,无锡,2028,0.0439332755848648,0.0093136312243877,0.0785529199453419,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,439.33275584864805,11
CS0030841,方案设计,昆明,2026,0.0138820885489527,0.0021013350629916,0.0268293415969742,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,138.820885489527,55
CS0030842,方案设计,昆明,2027,0.0136339643168298,0.0017942207556674,0.0265812173648512,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,136.339643168298,57
CS0030843,方案设计,昆明,2028,0.013336482835173,0.0014986699399574,0.0262837358831944,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,133.36482835173,56
CS0030844,方案设计,杭州,2026,0.0425650847232692,0.0199229638386413,0.0652072056078971,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,425.650847232692,5
CS0030845,方案设计,杭州,2027,0.0459047279866447,0.0232626071020168,0.0685468488712726,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,459.047279866447,6
CS0030846,方案设计,杭州,2028,0.0502851813359613,0.0276430604513334,0.0729273022205891,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,502.851813359613,5
CS0030847,方案设计,株洲,2026,0.0341469003102548,0.0028044997555882,0.0842901832784964,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,341.469003102548,19
CS0030848,方案设计,株洲,2027,0.0344377294630445,0.0022407782171337,0.0845810124312861,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,344.37729463044496,24
CS0030849,方案设计,株洲,2028,0.0347285586158343,0.0016770566786791,0.0848718415840758,seasonal_3y+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,347.285586158343,27
CS0030850,方案设计,武汉,2026,0.050576556604141,0.0152616511676093,0.0858914620406728,trend_seasonal+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,505.76556604141,2
CS0030851,方案设计,武汉,2027,0.0547858384165619,0.0194709329800302,0.0901007438530937,trend_seasonal+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,547.858384165619,3
CS0030852,方案设计,武汉,2028,0.0604823251566611,0.0251674197201293,0.0957972305931929,trend_seasonal+留出校准组合,0.9528571428571428,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,604.823251566611,3
CS0030853,方案设计,沈阳,2026,0.0214425291068575,0.0024688124769973,0.0494184865665774,seasonal_3y+留出校准组合,0.747142857142857,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,214.425291068575,44
CS0030854,方案设计,沈阳,2027,0.0211770644735795,0.0020341296837565,0.0491530219332994,seasonal_3y+留出校准组合,0.85,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,211.770644735795,44
