城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000034,3ds Max,西安,2026,0.0006836720255881,0.0,0.0060540423959584,seasonal_naive+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.836720255881,11
CS0000035,3ds Max,西安,2027,0.0006836720255881,0.0,0.0060540423959584,seasonal_naive+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.836720255881,10
CS0000036,3ds Max,西安,2028,0.0006836720255881,0.0,0.0060540423959584,seasonal_naive+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.836720255881,7
CS0000037,3ds Max,长沙,2026,0.0006927967782374,0.0001487593377256,0.0033260660938534,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.927967782373999,10
CS0000038,3ds Max,长沙,2027,0.0006395357416169,9.232629538960807e-05,0.0032728050572329,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.395357416169,11
CS0000039,3ds Max,长沙,2028,0.0005862747049963,3.589325305354253e-05,0.0032195440206123,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,5.862747049963,10
CS0000040,5Why,上海,2026,0.0031471505781498,0.0014880294587353,0.0048472556508129,trend_seasonal+留出校准组合,0.747142857142857,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,31.471505781498003,5
CS0000041,5Why,上海,2027,0.0046885316108727,0.0029884265382096,0.0063886366835359,trend_seasonal+留出校准组合,0.85,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,46.885316108727,5
CS0000042,5Why,上海,2028,0.006844659195276,0.0051445541226129,0.0085447642679392,trend_seasonal+留出校准组合,0.9528571428571428,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,68.44659195276,5
CS0000043,5Why,厦门,2026,0.0108686904194806,0.0023288613008855,0.0197712560503208,trend_seasonal+留出校准组合,0.747142857142857,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,108.686904194806,2
CS0000044,5Why,厦门,2027,0.0168204019727057,0.0079178363418655,0.0257229676035459,trend_seasonal+留出校准组合,0.85,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,168.204019727057,2
CS0000045,5Why,厦门,2028,0.0278880697010618,0.0189855040702216,0.036790635331902,trend_seasonal+留出校准组合,0.9528571428571428,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,278.880697010618,2
CS0000046,5Why,惠州,2026,0.0136666421434887,0.0021855874966874,0.0281507976870144,trend_seasonal+留出校准组合,0.747142857142857,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,136.66642143488698,1
CS0000047,5Why,惠州,2027,0.0191476775207645,0.0057042389312639,0.0336318330642903,trend_seasonal+留出校准组合,0.85,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,191.476775207645,1
CS0000048,5Why,惠州,2028,0.0281109074132804,0.0138755204546124,0.0425950629568061,trend_seasonal+留出校准组合,0.9528571428571428,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,281.109074132804,1
CS0000049,5Why,深圳,2026,0.0067542954231644,0.0028240006315017,0.0107270690707737,trend_seasonal+留出校准组合,0.747142857142857,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,67.542954231644,3
CS0000050,5Why,深圳,2027,0.0120309806076729,0.0080582069600636,0.0160037542552821,trend_seasonal+留出校准组合,0.85,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,120.309806076729,3
CS0000051,5Why,深圳,2028,0.0178706973049084,0.0138979236572992,0.0218434709525177,trend_seasonal+留出校准组合,0.9528571428571428,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,178.70697304908398,3
CS0000052,5Why,苏州,2026,0.0053864378127551,0.0014698297633694,0.0094846941432535,trend_seasonal+留出校准组合,0.747142857142857,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,53.864378127551,4
CS0000053,5Why,苏州,2027,0.0070802640041956,0.0030034722792381,0.011178520334694,trend_seasonal+留出校准组合,0.85,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,70.802640041956,4
CS0000054,5Why,苏州,2028,0.0097524325674021,0.0056541762369038,0.0138506888979005,trend_seasonal+留出校准组合,0.9528571428571428,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,97.524325674021,4
CS0000055,8D,上海,2026,0.012774905237376,0.003964877864765,0.0220907451372378,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,127.74905237376001,25
CS0000056,8D,上海,2027,0.0203438150453873,0.0110759095389716,0.029659654945249,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,203.438150453873,21
CS0000057,8D,上海,2028,0.0293832254756459,0.0200673855757841,0.0386990653755077,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,293.832254756459,21
