组合职业关系主键,技能组合编号,职业小类代码,职业小类名称,组合职业关联岗位数,组合岗位总数,职业岗位总数,掌握组合后进入该职业概率,职业内组合需求占比,职业组合相对集中度,职业排名
ZG00000061,ZH02987,2-02-18,建筑工程技术人员,2670,19502,180761,0.13690903497077223,0.014770885312650407,6.471729112076718,3
ZG00000062,ZH04289,2-06-08,人力资源专业人员,4871,43172,320346,0.11282775873251182,0.015205434124353044,3.0094671858928472,2
ZG00000063,ZH01784,6-31-06,安全生产管理人员,1231,280866,66158,0.004382872971452578,0.018606971190181083,0.5660691311833039,27
ZG00000064,ZH03342,4-04-05,软件和信息技术服务人员,986,3466,749774,0.28447778418926717,0.0013150629389656083,3.2419845210029057,2
ZG00000065,ZH03458,4-08-10,生产现场技术工艺人员,244,1285,309768,0.18988326848249026,0.00078768626843315,5.237729956205709,1
ZG00000066,ZH02170,3-01-02,行政事务处理人员,102,12064,257156,0.008454907161803714,0.0003966463936287701,0.2809345403277384,12
ZG00000067,ZH01908,6-31-01,机械设备修理人员,868,360404,91852,0.002408408341749814,0.0094499847580891,0.22404459041409727,36
ZG00000068,ZH02518,4-02-06,仓储物流服务人员,3266,99147,224118,0.03294098661583306,0.0145726804629704,1.2558935240423612,7
ZG00000069,ZH00276,2-02-10,信息和通信工程技术人员,1810,3539,728309,0.5114439107092399,0.0024852088879857314,6.000332158603049,1
ZG00000070,ZH01638,4-01-02,销售人员,1678,7562,1199332,0.22189896852684474,0.0013991121724426596,1.5809160866630108,2
ZG00000071,ZH04961,3-01-02,行政事务处理人员,258,9422,257156,0.027382721290596476,0.0010032820544727714,0.9098564977093345,12
ZG00000072,ZH01782,2-02-10,信息和通信工程技术人员,8906,95513,728309,0.09324385162229225,0.012228326163757417,1.093950030034336,2
ZG00000073,ZH02810,2-02-10,信息和通信工程技术人员,72,634,728309,0.11356466876971609,9.885913808562025e-05,1.33235672540332,2
ZG00000074,ZH03182,4-04-05,软件和信息技术服务人员,355,5130,749774,0.06920077972709551,0.00047347600743690766,0.7886304983566431,2
ZG00000075,ZH03586,4-08-08,专业化设计服务人员,1615,3296,196680,0.4899878640776699,0.008211307707952004,21.287177461393107,1
ZG00000076,ZH01347,2-02-10,信息和通信工程技术人员,2373,3152,728309,0.7528553299492385,0.0032582324260719006,8.832605008055898,1
ZG00000077,ZH03371,4-02-06,仓储物流服务人员,226,5562,224118,0.040632865875584324,0.0010083973621038916,1.5491507194839271,7
