技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03224,DNS+OpenStack,标准技能组合,DNS,OpenStack,0.8881058574526475,22.0,13.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,OpenStack,JN0325,OpenStack（软件开发框架与工具）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,DNS||OpenStack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03225,DNS+VLAN,标准技能组合,DNS,VLAN,0.8780055936326638,22.0,22.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,VLAN,JN0511,VLAN（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,DNS||VLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03226,DNS+VXLAN,标准技能组合,DNS,VXLAN,0.8489069157775031,22.0,22.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,VXLAN,JN0582,VXLAN（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,DNS||VXLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03227,DNS+WAF,标准技能组合,DNS,WAF,0.8852751313973394,22.0,22.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,WAF,JN0446,WAF（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,DNS||WAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03228,DNS+网络安全,标准技能组合,DNS,网络安全,0.850847257906348,22.0,22.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,网络安全,JN0065,网络安全,工具软件与技术平台,22.0,网络运维与信息安全,DNS||网络安全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03229,DNS+网络运维,标准技能组合,DNS,网络运维,0.8913120150252555,22.0,22.0,DNS,JN0385,DNS（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,网络运维,JN0405,网络运维,工具软件与技术平台,22.0,网络运维与信息安全,DNS||网络运维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03230,DOE试验设计+生产流程,标准技能组合,DOE试验设计,生产流程,0.8323104949704186,6.0,6.0,DOE试验设计,JN0293,DOE试验设计（质量工程方法）,具体专业技能,6.0,质量管理与持续改进,生产流程,JN0105,生产流程,方法、标准与流程,6.0,质量管理与持续改进,DOE试验设计||生产流程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03231,DOE试验设计+高分子材料,标准技能组合,DOE试验设计,高分子材料,0.7235812373945366,6.0,18.0,DOE试验设计,JN0293,DOE试验设计（质量工程方法）,具体专业技能,6.0,质量管理与持续改进,高分子材料,JN0705,高分子材料,专业知识与行业经验,18.0,医药研发与药事管理,DOE试验设计||高分子材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03232,DOM+Element UI,标准技能组合,DOM,Element UI,0.8965371499222892,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,Element UI,JN0545,Element UI（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,DOM||Element UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03233,DOM+HTML,标准技能组合,DOM,HTML,0.9129717434891139,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,HTML,JN0048,HTML（前端开发）,工具软件与技术平台,10.0,Web前端开发,DOM||HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03234,DOM+Node.js,标准技能组合,DOM,Node.js,0.9006002701422038,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,Node.js,JN0186,Node.js（开发框架）,工具软件与技术平台,10.0,Web前端开发,DOM||Node.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03235,DOM+React,标准技能组合,DOM,React,0.8938031309132174,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,React,JN0130,React（开发框架）,工具软件与技术平台,10.0,Web前端开发,DOM||React,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03236,DOM+Vue,标准技能组合,DOM,Vue,0.889771214035174,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,Vue,JN0103,Vue（开发框架）,工具软件与技术平台,10.0,Web前端开发,DOM||Vue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03237,DOM+Webpack,标准技能组合,DOM,Webpack,0.9059351976671479,10.0,10.0,DOM,JN0337,DOM（软件开发框架与工具）,工具软件与技术平台,10.0,Web前端开发,Webpack,JN0242,Webpack（前端构建工具）,工具软件与技术平台,10.0,Web前端开发,DOM||Webpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03238,DSP+EMC,标准技能组合,DSP,EMC,0.878221243304659,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,EMC,JN0176,EMC（机械电子电气制造）,方法、标准与流程,11.0,嵌入式与电子硬件开发,DSP||EMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03239,DSP+I2C总线,标准技能组合,DSP,I2C总线,0.8963444993716638,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,I2C总线,JN0284,I2C总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DSP||I2C总线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03240,DSP+RS-485,标准技能组合,DSP,RS-485,0.903521355185609,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,RS-485,JN0449,RS-485（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DSP||RS-485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03241,DSP+SPI总线,标准技能组合,DSP,SPI总线,0.9041281996078311,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,SPI总线,JN0281,SPI总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DSP||SPI总线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03242,DSP+STM32,标准技能组合,DSP,STM32,0.9069517418500805,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,STM32,JN0361,STM32（嵌入式开发）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DSP||STM32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03243,DSP+嵌入式,标准技能组合,DSP,嵌入式,0.9072427823854684,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,嵌入式,JN0073,嵌入式,方法、标准与流程,11.0,嵌入式与电子硬件开发,DSP||嵌入式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03244,DSP+示波器使用,标准技能组合,DSP,示波器使用,0.8886490454842034,11.0,11.0,DSP,JN0230,数字信号处理（DSP）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,示波器使用,JN0206,示波器使用,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DSP||示波器使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03245,Dell EMC存储+H3C网络设备,标准技能组合,Dell EMC存储,H3C网络设备,0.758515902310915,22.0,22.0,Dell EMC存储,JN0553,Dell EMC存储（存储技术）,工具软件与技术平台,22.0,网络运维与信息安全,H3C网络设备,JN0369,H3C网络设备（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,Dell EMC存储||H3C网络设备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03246,Dell EMC存储+OSPF,标准技能组合,Dell EMC存储,OSPF,0.7639554296124407,22.0,22.0,Dell EMC存储,JN0553,Dell EMC存储（存储技术）,工具软件与技术平台,22.0,网络运维与信息安全,OSPF,JN0447,OSPF（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,Dell EMC存储||OSPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03247,Dell EMC存储+无线接入点,标准技能组合,Dell EMC存储,无线接入点,0.7224323745604964,22.0,22.0,Dell EMC存储,JN0553,Dell EMC存储（存储技术）,工具软件与技术平台,22.0,网络运维与信息安全,无线接入点,JN0605,无线接入点,工具软件与技术平台,22.0,网络运维与信息安全,Dell EMC存储||无线接入点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03248,DevOps+Go,标准技能组合,DevOps,Go,0.8852831619275304,13.0,13.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Go,JN0201,Go（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,DevOps||Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03249,DevOps+MongoDB,标准技能组合,DevOps,MongoDB,0.9145794899351222,13.0,3.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,MongoDB,JN0151,MongoDB（数据库与数据工程）,工具软件与技术平台,3.0,Java后端开发与中间件,DevOps||MongoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03250,DevOps+PostgreSQL,标准技能组合,DevOps,PostgreSQL,0.9022525355462226,13.0,3.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,PostgreSQL,JN0272,PostgreSQL（数据库与数据工程）,工具软件与技术平台,3.0,Java后端开发与中间件,DevOps||PostgreSQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03251,DevOps+Prometheus,标准技能组合,DevOps,Prometheus,0.8971228813676694,13.0,13.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Prometheus,JN0498,Prometheus（软件开发框架与工具）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,DevOps||Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03252,DevOps+RabbitMQ,标准技能组合,DevOps,RabbitMQ,0.9086841857450664,13.0,3.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,RabbitMQ,JN0295,RabbitMQ（消息队列）,工具软件与技术平台,3.0,Java后端开发与中间件,DevOps||RabbitMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03253,DevOps+Redis,标准技能组合,DevOps,Redis,0.9174807235646307,13.0,3.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Redis,JN0067,Redis（数据库与数据工程）,工具软件与技术平台,3.0,Java后端开发与中间件,DevOps||Redis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03254,DevOps+云计算,标准技能组合,DevOps,云计算,0.896294157065888,13.0,13.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,云计算,JN0091,云计算,工具软件与技术平台,13.0,云计算、系统运维与DevOps,DevOps||云计算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03255,DevOps+阿里云,标准技能组合,DevOps,阿里云,0.9092069329701711,13.0,13.0,DevOps,JN0287,DevOps（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,阿里云,JN0327,阿里云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,DevOps||阿里云,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03256,Django+GitHub,标准技能组合,Django,GitHub,0.8064323149469466,13.0,7.0,Django,JN0384,Django（开发框架）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,GitHub,JN0380,GitHub（运维云与安全）,工具软件与技术平台,7.0,网络通信与软件开发基础,Django||GitHub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03257,Docker+Jenkins,标准技能组合,Docker,Jenkins,0.8851265297621729,13.0,13.0,Docker,JN0173,Docker（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Jenkins,JN0289,Jenkins（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Docker||Jenkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH03258,Docker+Kafka,标准技能组合,Docker,Kafka,0.9129724324629077,13.0,19.0,Docker,JN0173,Docker（运维云与安全）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,Kafka,JN0165,Kafka（开发框架）,工具软件与技术平台,19.0,大数据工程与数据仓库,Docker||Kafka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
